Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
7.16e+09,Conductance,0.00253945,-0.00013408,0.00253945
7.16e+09,Capacitance,2.82234e-12,-1.49032e-13,2.82234e-12
7.23333e+09,Resistance,2.78313,0.0650574,2.78313
7.23333e+09,Inductance,1.12835e-08,5.9401e-10,1.12835e-08
7.23333e+09,Conductance,0.00256549,-0.000135479,0.00256549
7.23333e+09,Capacitance,2.82234e-12,-1.49031e-13,2.82234e-12
7.30667e+09,Resistance,2.79744,0.0652661,2.79744
7.30667e+09,Inductance,1.12832e-08,5.94001e-10,1.12832e-08
7.30667e+09,Conductance,0.00259142,-0.000136808,0.00259142
7.30667e+09,Capacitance,2.82235e-12,-1.4903e-13,2.82235e-12
7.38e+09,Resistance,2.81122,0.0657413,2.81122
7.38e+09,Inductance,1.12829e-08,5.94004e-10,1.12829e-08
7.38e+09,Conductance,0.00261748,-0.000138217,0.00261748
7.38e+09,Capacitance,2.82234e-12,-1.49033e-13,2.82234e-12
7.45333e+09,Resistance,2.82533,0.0660419,2.82533
7.45333e+09,Inductance,1.12826e-08,5.93993e-10,1.12826e-08
7.45333e+09,Conductance,0.00264342,-0.000139588,0.00264342
7.45333e+09,Capacitance,2.82234e-12,-1.49031e-13,2.82234e-12
7.52667e+09,Resistance,2.83872,0.0663166,2.83872
7.52667e+09,Inductance,1.12823e-08,5.93991e-10,1.12823e-08
7.52667e+09,Conductance,0.00266953,-0.000140979,0.00266953
7.52667e+09,Capacitance,2.82234e-12,-1.49033e-13,2.82234e-12
7.6e+09,Resistance,2.85308,0.0671525,2.85308
7.6e+09,Inductance,1.1282e-08,5.93976e-10,1.1282e-08
7.6e+09,Conductance,0.0026954,-0.000142447,0.0026954
7.6e+09,Capacitance,2.82234e-12,-1.49031e-13,2.82234e-12
7.67333e+09,Resistance,2.86647,0.0675648,2.86647
7.67333e+09,Inductance,1.12817e-08,5.93972e-10,1.12817e-08
7.67333e+09,Conductance,0.00272145,-0.000143842,0.00272145
7.67333e+09,Capacitance,2.82234e-12,-1.49031e-13,2.82234e-12
7.74667e+09,Resistance,2.87964,0.0673362,2.87964
7.74667e+09,Inductance,1.12815e-08,5.9396e-10,1.12815e-08
7.74667e+09,Conductance,0.00274754,-0.000145103,0.00274754
7.74667e+09,Capacitance,2.82234e-12,-1.4903e-13,2.82234e-12
7.82e+09,Resistance,2.89361,0.0673777,2.89361
7.82e+09,Inductance,1.12812e-08,5.9396e-10,1.12812e-08
7.82e+09,Conductance,0.00277343,-0.000146395,0.00277343
